iter	Passed	Remaining
552	1260	904
553	1262	902
554	1264	900
555	1266	897
556	1268	895
557	1270	892
558	1273	890
559	1275	888
560	1277	886
561	1279	883
562	1281	881
563	1283	878
564	1286	876
565	1288	874
566	1290	871
567	1292	869
568	1294	867
569	1297	864
570	1299	862
571	1301	860
572	1303	857
573	1306	855
574	1308	853
575	1311	851
576	1313	848
577	1315	846
578	1317	844
579	1319	841
580	1322	839
581	1324	837
582	1326	835
583	1328	832
584	1330	830
585	1332	827
586	1335	825
587	1337	823
588	1339	820
589	1341	818
590	1343	816
591	1346	814
592	1348	811
593	1350	809
594	1352	806
595	1354	804
596	1356	802
597	1358	799
598	1360	797
599	1363	795
600	1364	792
601	1367	790
602	1369	787
603	1371	785
604	1373	783
605	1375	781
606	1377	778
607	1379	776
608	1381	773
609	1384	771
610	1386	769
611	1388	766
612	1390	764
613	1393	762
614	1395	760
615	1397	757
616	1399	755
617	1401	752
618	1403	750
619	1406	748
620	1408	746
621	1410	743
622	1412	741
623	1414	739
624	1417	737
625	1420	735
626	1422	732
627	1424	730
628	1426	728
629	1428	725
630	1430	723
631	1433	721
632	1435	718
633	1437	716
634	1439	714
635	1442	712
636	1444	709
637	1446	707
638	1448	705
639	1450	702
640	1453	700
641	1455	698
642	1457	695
643	1459	693
644	1462	691
645	1464	689
646	1466	686
647	1468	684
648	1470	682
649	1472	679
650	1474	677
651	1477	675
652	1479	672
653	1481	670
654	1483	668
655	1485	665
656	1488	663
657	1490	661
658	1492	659
659	1494	656
660	1496	654
661	1498	651
662	1500	649
663	1502	647
664	1504	644
665	1506	642
666	1508	640
667	1510	637
668	1513	635
669	1515	633
670	1517	630
671	1519	628
672	1521	626
673	1523	623
674	1525	621
675	1528	619
676	1530	617
677	1532	614
678	1534	612
679	1536	610
680	1538	607
681	1541	605
682	1543	603
683	1545	600
684	1547	598
685	1549	596
686	1551	593
687	1553	591
688	1555	589
689	1557	587
690	1560	584
691	1562	582
692	1564	580
693	1566	577
694	1568	575
695	1570	573
696	1573	571
697	1575	568
698	1577	566
699	1580	564
700	1582	562
701	1584	559
702	1586	557
703	1588	555
704	1590	552
705	1593	550
706	1595	548
707	1597	546
708	1599	543
709	1602	541
710	1604	539
711	1606	537
712	1609	534
713	1611	532
714	1613	530
715	1615	528
716	1618	525
717	1620	523
718	1622	521
719	1624	519
720	1627	516
721	1629	514
722	1631	512
723	1633	509
724	1635	507
725	1637	505
726	1639	503
727	1642	500
728	1644	498
729	1646	496
730	1648	493
731	1651	491
732	1653	489
733	1655	487
734	1657	484
735	1659	482
736	1661	480
737	1663	477
738	1666	475
739	1668	473
740	1670	471
741	1672	468
742	1674	466
743	1676	464
744	1679	462
745	1681	459
746	1683	457
747	1685	455
748	1688	453
749	1690	450
750	1692	448
751	1694	446
752	1696	443
753	1699	441
754	1701	439
755	1703	437
756	1705	434
757	1707	432
758	1709	430
759	1712	428
760	1714	425
761	1716	423
762	1718	421
763	1720	418
764	1722	416
765	1724	414
766	1727	412
767	1729	409
768	1731	407
769	1733	405
770	1735	402
771	1737	400
772	1739	398
773	1742	396
774	1744	393
775	1747	391
776	1749	389
777	1751	387
778	1753	384
779	1755	382
780	1757	380
781	1760	378
782	1762	375
783	1764	373
784	1766	371
785	1768	369
786	1770	366
787	1772	364
788	1775	362
789	1777	359
790	1779	357
791	1781	355
792	1783	353
793	1786	350
794	1788	348
795	1790	346
796	1792	344
797	1794	341
798	1797	339
799	1799	337
800	1801	335
801	1803	332
802	1805	330
803	1808	328
804	1810	326
805	1812	323
806	1815	321
807	1817	319
808	1819	317
809	1821	314
810	1823	312
811	1826	310
812	1828	308
813	1830	305
814	1832	303
815	1835	301
816	1837	299
817	1839	296
818	1841	294
819	1843	292
820	1846	290
821	1848	287
822	1850	285
823	1852	283
824	1854	281
825	1856	278
826	1858	276
827	1861	274
828	1863	272
829	1866	269
830	1868	267
831	1870	265
832	1872	263
833	1874	260
834	1876	258
835	1879	256
836	1881	253
837	1883	251
838	1885	249
839	1887	247
840	1890	244
841	1892	242
842	1894	240
843	1896	238
844	1898	235
845	1900	233
846	1902	231
847	1905	229
848	1907	226
849	1909	224
850	1911	222
851	1913	220
852	1915	217
853	1918	215
854	1920	213
855	1922	211
856	1924	208
857	1927	206
858	1929	204
859	1931	202
860	1933	199
861	1935	197
862	1937	195
863	1940	193
864	1942	190
865	1944	188
866	1946	186
867	1949	184
868	1951	181
869	1954	179
870	1956	177
871	1959	175
872	1961	173
873	1964	170
874	1966	168
875	1968	166
876	1970	164
877	1972	161
878	1975	159
879	1977	157
880	1979	155
881	1981	152
882	1984	150
883	1986	148
884	1989	146
885	1992	143
886	1994	141
887	1998	139
888	2000	137
889	2002	135
890	2004	132
891	2007	130
892	2010	128
893	2013	126
894	2014	123
895	2016	121
896	2019	119
897	2021	117
898	2023	114
899	2026	112
900	2028	110
901	2031	108
902	2033	105
903	2035	103
904	2037	101
905	2040	99
906	2042	96
907	2044	94
908	2046	92
909	2049	90
910	2051	87
911	2053	85
912	2055	83
913	2058	81
914	2060	78
915	2062	76
916	2064	74
917	2066	72
918	2068	69
919	2071	67
920	2073	65
921	2075	63
922	2077	60
923	2079	58
924	2081	56
925	2083	54
926	2086	51
927	2088	49
928	2090	47
929	2092	44
930	2094	42
931	2096	40
932	2098	38
933	2100	35
934	2102	33
935	2104	31
936	2106	29
937	2108	26
938	2111	24
939	2114	22
940	2116	20
941	2118	17
942	2121	15
943	2124	13
944	2126	11
945	2128	9
946	2130	6
947	2132	4
948	2134	2
949	2137	0
